time,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8
01.01.2022 19:50:00,14.94064278,14.94064278,16.94359784,17.05124197,16.4325233,15.92125333,15.56420175,15.26710701
01.01.2022 20:00:00,15.02785563,15.02785563,16.91007263,17.04171605,16.43503822,15.92363161,15.5650244,15.26728687
01.01.2022 20:10:00,15.12276044,15.12276044,16.87793572,17.031884,16.43737408,15.92599989,15.56586293,15.26747369
01.01.2022 20:20:00,15.22520483,15.22520483,16.84726211,17.02177037,16.43952968,15.92835589,15.56671692,15.26766755
01.01.2022 20:30:00,15.33502197,15.33502197,16.81812416,17.0114003,16.44150419,15.93069734,15.56758594,15.26786856
01.01.2022 20:40:00,15.45203087,15.45203087,16.79059135,17.00079951,16.44329715,15.93302201,15.56846956,15.26807676
01.01.2022 20:50:00,15.57603671,15.57603671,16.7647302,16.98999427,16.44490844,15.93532768,15.56936728,15.26829225
01.01.2022 21:00:00,15.70683125,15.70683125,16.74060416,16.97901128,16.44633834,15.93761219,15.57027862,15.26851507
01.01.2022 21:10:00,15.84419318,15.84419318,16.71827343,16.9678777,16.44758747,15.9398734,15.57120306,15.26874527
01.01.2022 21:20:00,15.98788858,15.98788858,16.69779488,16.95662104,16.44865682,15.94210923,15.57214005,15.26898291
01.01.2022 21:30:00,16.13767133,16.13767133,16.67922192,16.94526912,16.44954777,15.94431764,15.57308904,15.26922802
01.01.2022 21:40:00,16.29328361,16.29328361,16.66260442,16.93385004,16.45026205,15.94649663,15.57404946,15.26948063
01.01.2022 21:50:00,16.45445637,16.45445637,16.64798858,16.9223921,16.45080173,15.94864429,15.57502069,15.26974076
01.01.2022 22:00:00,16.62090983,16.62090983,16.63541688,16.91092374,16.45116928,15.95075874,15.57600214,15.27000842
01.01.2022 22:10:00,16.79235403,16.79235403,16.62492794,16.8994735,16.45136748,15.95283818,15.57699317,15.27028361
01.01.2022 22:20:00,16.96848938,16.96848938,16.6165565,16.88806999,16.45139949,15.95488088,15.57799315,15.27056634
01.01.2022 22:30:00,17.14900723,17.14900723,16.61033332,16.87674177,16.4512688,15.95688517,15.57900141,15.27085659
01.01.2022 22:40:00,17.33359044,17.33359044,16.60628513,16.86551734,16.45097924,15.95884948,15.58001729,15.27115433
01.01.2022 22:50:00,17.52191401,17.52191401,16.60443458,16.8544251,16.45053498,15.96077229,15.58104012,15.27145954
01.01.2022 23:00:00,17.71364565,17.71364565,16.60480016,16.84349324,16.4499405,15.96265219,15.5820692,15.27177218
01.01.2022 23:10:00,17.90844647,17.90844647,16.60739623,16.83274974,16.44920059,15.96448784,15.58310384,15.2720922
01.01.2022 23:20:00,18.1059716,18.1059716,16.61223293,16.82222227,16.44832036,15.966278,15.58414334,15.27241954
01.01.2022 23:30:00,18.30587082,18.30587082,16.61931616,16.81193817,16.44730522,15.9680215,15.585187,15.27275414
01.01.2022 23:40:00,18.50778926,18.50778926,16.62864763,16.8019244,16.44616086,15.9697173,15.58623409,15.27309593
01.01.2022 23:50:00,18.71136806,18.71136806,16.64022477,16.79220744,16.44489323,15.97136442,15.58728391,15.27344483
02.01.2022 00:00:00,18.91624506,18.91624506,16.65404078,16.7828133,16.44350858,15.972962,15.58833574,15.27380074
02.01.2022 00:10:00,19.12205548,19.12205548,16.67008467,16.77376744,16.44201338,15.97450929,15.58938886,15.27416356
02.01.2022 00:20:00,19.32843261,19.32843261,16.68834118,16.76509469,16.44041436,15.97600561,15.59044257,15.2745332
02.01.2022 00:30:00,19.53500852,19.53500852,16.70879093,16.75681928,16.43871847,15.97745041,15.59149615,15.27490954
02.01.2022 00:40:00,19.74141474,19.74141474,16.73141036,16.74896471,16.43693289,15.97884324,15.59254889,15.27529245
02.01.2022 00:50:00,19.94728299,19.94728299,16.75617181,16.74155376,16.435065,15.98018376,15.5936001,15.2756818
02.01.2022 01:00:00,20.15224585,20.15224585,16.78304357,16.73460842,16.43312235,15.98147173,15.59464909,15.27607747
02.01.2022 01:10:00,20.35593747,20.35593747,16.81198995,16.72814985,16.43111267,15.98270702,15.59569515,15.2764793
02.01.2022 01:20:00,20.55799427,20.55799427,16.84297131,16.72219835,16.42904388,15.98388962,15.59673764,15.27688715
02.01.2022 01:30:00,20.75805565,20.75805565,16.87594417,16.7167733,16.426924,15.98501962,15.59777586,15.27730085
02.01.2022 01:40:00,20.95576461,20.95576461,16.91086127,16.71189316,16.42476122,15.98609722,15.59880919,15.27772025
02.01.2022 01:50:00,21.1507685,21.1507685,16.94767168,16.70757538,16.42256381,15.98712273,15.59983697,15.27814517
02.01.2022 02:00:00,21.34271965,21.34271965,16.98632086,16.70383641,16.42034017,15.98809657,15.60085859,15.27857544
02.01.2022 02:10:00,21.53127606,21.53127606,17.02675078,16.70069165,16.41809875,15.98901928,15.60187345,15.27901088
02.01.2022 02:20:00,21.71610202,21.71610202,17.06890006,16.69815542,16.4158481,15.98989148,15.60288094,15.2794513
02.01.2022 02:30:00,21.89686876,21.89686876,17.11270402,16.69624094,16.41359679,15.99071393,15.60388051,15.27989651
02.01.2022 02:40:00,22.07325508,22.07325508,17.15809486,16.69496029,16.41135345,15.99148748,15.6048716,15.28034631
02.01.2022 02:50:00,22.24494795,22.24494795,17.20500176,16.6943244,16.40912672,15.99221307,15.60585369,15.28080051
02.01.2022 03:00:00,22.41164313,22.41164313,17.25335101,16.694343,16.40692522,15.99289177,15.60682626,15.2812589
02.01.2022 03:10:00,22.5730457,22.5730457,17.30306617,16.69502467,16.40475759,15.99352475,15.60778885,15.28172127
02.01.2022 03:20:00,22.72887069,22.72887069,17.35406819,16.69637672,16.40263241,15.99411325,15.60874098,15.28218742
02.01.2022 03:30:00,22.87884354,22.87884354,17.40627558,16.69840527,16.40055823,15.99465863,15.60968222,15.28265712
02.01.2022 03:40:00,23.02270069,23.02270069,17.45960453,16.70111518,16.39854352,15.99516236,15.61061217,15.28313018
02.01.2022 03:50:00,23.16019006,23.16019006,17.51396911,16.70451007,16.39659669,15.99562596,15.61153045,15.28360636
02.01.2022 04:00:00,23.2910715,23.2910715,17.56928142,16.70859228,16.39472603,15.99605108,15.61243671,15.28408545
02.01.2022 04:10:00,23.41511728,23.41511728,17.62545172,16.7133629,16.39293974,15.99643943,15.61333061,15.28456723
02.01.2022 04:20:00,23.53211253,23.53211253,17.68238867,16.71882175,16.39124588,15.99679282,15.61421187,15.28505148
02.01.2022 04:30:00,23.6418556,23.6418556,17.73999941,16.72496737,16.38965236,15.99711313,15.61508023,15.28553798
02.01.2022 04:40:00,23.7441585,23.7441585,17.79818983,16.73179705,16.38816694,15.99740233,15.61593544,15.28602651
02.01.2022 04:50:00,23.83884722,23.83884722,17.85686468,16.7393068,16.38679721,15.99766244,15.61677731,15.28651686
02.01.2022 05:00:00,23.92576208,23.92576208,17.91592777,16.74749139,16.38555056,15.99789557,15.61760566,15.28700879
02.01.2022 05:10:00,24.00475801,24.00475801,17.97528218,16.75634433,16.3844342,15.99810389,15.61842035,15.28750209
02.01.2022 05:20:00,24.07570484,24.07570484,18.03483039,16.76585789,16.3834551,15.99828964,15.61922129,15.28799656
02.01.2022 05:30:00,24.13848758,24.13848758,18.09447451,16.77602314,16.38262,15.9984551,15.62000838,15.28849197
02.01.2022 05:40:00,24.19300657,24.19300657,18.15411644,16.78682992,16.38193541,15.99860262,15.6207816,15.28898811
02.01.2022 05:50:00,24.23917771,24.23917771,18.21365807,16.79826689,16.38140759,15.99873458,15.62154094,15.28948479
02.01.2022 06:00:00,24.27693262,24.27693262,18.27300145,16.81032156,16.38104252,15.99885343,15.62228641,15.28998178
02.01.2022 06:10:00,24.30621877,24.30621877,18.33204898,16.82298027,16.3808459,15.99896165,15.62301809,15.2904789
02.01.2022 06:20:00,24.32699957,24.32699957,18.39070361,16.83622825,16.38082315,15.99906175,15.62373605,15.29097595
02.01.2022 06:30:00,24.33925442,24.33925442,18.44886902,16.85004965,16.38097938,15.99915627,15.62444042,15.29147273
02.01.2022 06:40:00,24.34297881,24.34297881,18.50644976,16.86442755,16.3813194,15.99924779,15.62513137,15.29196907
02.01.2022 06:50:00,24.33818425,24.33818425,18.56335149,16.87934399,16.38184769,15.99933889,15.62580908,15.29246477
02.01.2022 07:00:00,24.3248983,24.3248983,18.61948114,16.89478003,16.38256841,15.9994322,15.62647378,15.29295967
02.01.2022 07:10:00,24.30316452,24.30316452,18.67474705,16.91071575,16.38348537,15.99953033,15.62712572,15.2934536
02.01.2022 07:20:00,24.27304234,24.27304234,18.72905919,16.92713033,16.38460205,15.9996359,15.62776518,15.29394639
02.01.2022 07:30:00,24.23460698,24.23460698,18.78232931,16.94400202,16.38592158,15.99975156,15.62839249,15.29443789
02.01.2022 07:40:00,24.18794932,24.18794932,18.8344711,16.96130828,16.38744672,15.99987993,15.629008,15.29492795
02.01.2022 07:50:00,24.1331757,24.1331757,18.88540039,16.97902571,16.38917989,16.00002364,15.62961208,15.29541643
02.01.2022 08:00:00,24.07040771,24.07040771,18.93503524,16.9971302,16.3911231,16.00018528,15.63020514,15.29590319
02.01.2022 08:10:00,23.99978199,23.99978199,18.98329616,17.01559688,16.39327804,16.00036745,15.63078763,15.29638812
02.01.2022 08:20:00,23.92144994,23.92144994,19.03010624,17.03440026,16.395646,16.00057272,15.63136001,15.29687108
02.01.2022 08:30:00,23.83557746,23.83557746,19.07539127,17.05351418,16.39822787,16.00080363,15.63192277,15.29735199
02.01.2022 08:40:00,23.74234459,23.74234459,19.11907993,17.07291194,16.40102421,16.0010627,15.63247643,15.29783072
02.01.2022 08:50:00,23.64194522,23.64194522,19.16110387,17.09256631,16.40403516,16.00135238,15.63302154,15.29830721
02.01.2022 09:00:00,23.53458667,23.53458667,19.20139787,17.11244958,16.40726049,16.00167512,15.63355867,15.29878135
02.01.2022 09:10:00,23.42048935,23.42048935,19.23989998,17.13253364,16.4106996,16.0020333,15.63408842,15.29925308
02.01.2022 09:20:00,23.29988627,23.29988627,19.27655159,17.15279,16.41435149,16.00242925,15.63461139,15.29972234
02.01.2022 09:30:00,23.17302267,23.17302267,19.31129757,17.17318986,16.41821479,16.00286525,15.63512823,15.30018908
02.01.2022 09:40:00,23.04015548,23.04015548,19.34408639,17.19370416,16.42228775,16.00334354,15.6356396,15.30065324
